rank,feature,mean_abs_shap,xgb_gain_importance
1,v4_p95_t,1.0432197,0.029455913
2,W60_spatial_range_max,0.55908567,0.03644681
3,W60_spatial_range_mean,0.2684551,0.017387433
4,W60_T_max,0.2626123,0.017506607
5,v4_iqr_t,0.20661347,0.013131483
6,spatial_std_t,0.18702267,0.021212047
7,v4_slope_long_t,0.18297642,0.038117487
8,hot_ratio_t,0.15509783,0.09903614
9,W60_spatial_std_mean,0.15495887,0.01568957
10,W60_T_std,0.15410107,0.01345228
11,v4_slope_short_t,0.14194693,0.015541989
12,W60_T_mean,0.1344395,0.01720359
13,v4_shock_t,0.12966785,0.024464624
14,v4_median_t,0.12428519,0.02349201
15,W60_T_range,0.1158107,0.017847994
16,W60_slope,0.11570915,0.019659461
17,v4_p90_t,0.09365807,0.014003876
18,W60_T_min,0.08985642,0.013935791
19,W60_delta,0.07286636,0.030781709
20,T_mean_t,0.047793444,0.010383364
21,v4_accel_t,0.037212282,0.012305592
22,W60_hot_ratio_mean,0.03492863,0.3086147
23,v4_over_auc_t,0.03274238,0.100261666
24,spatial_range_t,0.023169803,0.016364368
25,W60_hot_ratio_max,0.01867072,0.04736991
26,mask_ratio_t,0.016616711,0.01340165
27,sconf,0.006189739,0.006393612
28,W60_over_auc_mean,0.001984603,0.0065383096
29,cold_ratio_t,0.0,0.0
30,W60_over_auc_max,0.0,0.0
31,W60_under_auc_max,0.0,0.0
32,W60_under_auc_mean,0.0,0.0
33,W60_under_dur_mean,0.0,0.0
34,W60_over_dur_mean,0.0,0.0
35,v4_over_max_t,0.0,0.0
36,v4_under_auc_t,0.0,0.0
37,v4_under_max_t,0.0,0.0
38,coverage_points,0.0,0.0
39,coverage_time,0.0,0.0
40,N_valid,0.0,0.0
