shipment_id,Time,step_index,scenario_name,Front_Top,Front_Middle,Front_Bottom,Middle_Top,Middle_Middle,Middle_Bottom,Rear_Top,Rear_Middle,Rear_Bottom,sconf,coverage_time,ambient_temp,door_open,speed_kmh,cooling_state,true_core_temp,cooling_effectiveness,risk_level,y_next_60_R2,eta_to_R2_60
SYN_SHIP_001,2026-06-01 08:00:00,0,NORMAL,2.563,2.023,1.683,2.706,1.947,1.648,2.972,2.229,2.051,1.0,1.0,18.54,0,84.0,NORMAL,1.992,0.931,0.0,0.0,
SYN_SHIP_001,2026-06-01 08:10:00,1,NORMAL,2.495,1.774,1.496,2.521,1.926,1.701,2.821,2.121,2.021,1.0,1.0,18.77,0,71.7,NORMAL,1.889,0.987,0.0,0.0,
SYN_SHIP_001,2026-06-01 08:20:00,2,NORMAL,2.515,1.78,1.594,2.525,1.918,1.699,2.677,1.947,1.841,1.0,1.0,18.73,0,69.6,NORMAL,1.828,0.999,0.0,0.0,
SYN_SHIP_001,2026-06-01 08:30:00,3,NORMAL,2.366,1.626,1.567,2.578,1.766,1.591,2.609,1.867,1.907,1.0,1.0,18.14,0,84.4,NORMAL,1.748,0.997,0.0,0.0,
SYN_SHIP_001,2026-06-01 08:40:00,4,NORMAL,2.352,1.705,1.41,2.313,1.699,1.472,2.588,1.819,1.84,1.0,1.0,18.39,0,69.9,NORMAL,1.711,0.932,0.0,0.0,
SYN_SHIP_001,2026-06-01 08:50:00,5,NORMAL,2.287,1.682,1.577,2.453,1.732,1.476,2.699,1.862,1.653,1.0,1.0,18.5,0,68.9,NORMAL,1.699,0.986,0.0,0.0,
SYN_SHIP_001,2026-06-01 09:00:00,6,NORMAL,2.265,1.681,1.327,2.341,1.726,1.608,2.512,1.95,1.754,1.0,1.0,18.51,0,69.9,NORMAL,1.686,0.93,0.0,0.0,
SYN_SHIP_001,2026-06-01 09:10:00,7,NORMAL,2.321,1.701,1.47,2.296,1.653,1.323,2.674,1.837,1.701,1.0,1.0,17.87,0,67.5,NORMAL,1.663,0.921,0.0,0.0,
SYN_SHIP_001,2026-06-01 09:20:00,8,NORMAL,2.267,1.635,1.339,2.395,1.654,1.449,2.548,1.86,1.722,1.0,1.0,18.75,0,73.3,NORMAL,1.646,0.952,0.0,0.0,
SYN_SHIP_001,2026-06-01 09:30:00,9,NORMAL,2.218,1.633,1.492,2.278,1.653,1.464,2.476,1.802,1.689,1.0,1.0,18.6,0,74.2,NORMAL,1.643,0.941,0.0,0.0,
SYN_SHIP_001,2026-06-01 09:40:00,10,NORMAL,2.251,1.596,1.46,2.203,1.732,1.381,2.476,1.948,1.701,1.0,1.0,18.21,0,74.1,NORMAL,1.653,0.94,0.0,0.0,
SYN_SHIP_001,2026-06-01 09:50:00,11,NORMAL,2.18,1.514,1.46,2.408,1.47,1.446,2.493,1.777,1.644,1.0,1.0,18.76,0,67.0,NORMAL,1.63,0.979,0.0,0.0,
SYN_SHIP_001,2026-06-01 10:00:00,12,NORMAL,2.304,1.518,1.369,2.4,1.644,1.407,2.549,1.974,1.72,1.0,1.0,18.65,0,83.8,NORMAL,1.623,0.954,0.0,0.0,
SYN_SHIP_001,2026-06-01 10:10:00,13,NORMAL,2.242,1.541,1.267,2.285,1.702,1.382,2.452,1.872,1.692,1.0,1.0,18.01,0,78.1,NORMAL,1.613,0.988,0.0,0.0,
SYN_SHIP_001,2026-06-01 10:20:00,14,NORMAL,2.209,1.536,1.285,2.303,1.656,1.378,2.53,1.88,1.777,1.0,1.0,19.1,0,66.1,NORMAL,1.603,0.96,0.0,0.0,
SYN_SHIP_001,2026-06-01 10:30:00,15,NORMAL,2.13,1.534,1.5,2.255,1.579,1.442,2.479,1.771,1.608,1.0,1.0,18.55,0,68.5,NORMAL,1.569,0.95,0.0,0.0,
SYN_SHIP_001,2026-06-01 10:40:00,16,NORMAL,2.162,1.547,1.282,2.29,1.586,1.189,2.547,1.73,1.724,1.0,1.0,18.29,0,76.4,NORMAL,1.582,0.974,0.0,0.0,
SYN_SHIP_001,2026-06-01 10:50:00,17,NORMAL,2.212,1.617,1.327,2.471,1.558,1.498,2.418,1.719,1.644,1.0,1.0,17.98,0,75.8,NORMAL,1.602,0.935,0.0,0.0,
SYN_SHIP_001,2026-06-01 11:00:00,18,NORMAL,2.215,1.388,1.422,2.214,1.594,1.424,2.357,1.663,1.687,1.0,1.0,18.03,0,74.0,NORMAL,1.573,0.933,0.0,0.0,
SYN_SHIP_001,2026-06-01 11:10:00,19,NORMAL,2.258,1.57,1.355,2.218,1.63,1.469,2.332,1.587,1.485,1.0,1.0,18.88,0,68.8,NORMAL,1.587,0.961,0.0,0.0,
SYN_SHIP_001,2026-06-01 11:20:00,20,NORMAL,2.29,1.726,1.313,2.327,1.658,1.458,2.416,1.716,1.697,1.0,1.0,18.49,0,76.1,NORMAL,1.612,0.922,0.0,0.0,
SYN_SHIP_001,2026-06-01 11:30:00,21,NORMAL,2.078,1.623,1.538,2.24,1.58,1.381,2.504,1.749,1.568,1.0,1.0,18.95,0,84.7,NORMAL,1.637,0.958,0.0,0.0,
SYN_SHIP_001,2026-06-01 11:40:00,22,NORMAL,2.305,1.567,1.347,2.345,1.561,1.384,2.644,1.782,1.697,1.0,1.0,19.32,0,77.5,NORMAL,1.642,0.921,0.0,0.0,
SYN_SHIP_001,2026-06-01 11:50:00,23,NORMAL,2.32,1.554,1.351,2.362,1.696,1.371,2.412,1.76,1.736,1.0,1.0,18.81,0,81.3,NORMAL,1.631,0.927,0.0,0.0,
SYN_SHIP_001,2026-06-01 12:00:00,24,NORMAL,2.285,1.534,1.302,2.359,1.598,1.471,2.598,1.739,1.676,1.0,1.0,18.94,0,67.3,NORMAL,1.62,0.935,0.0,0.0,
SYN_SHIP_001,2026-06-01 12:10:00,25,NORMAL,2.276,1.722,1.473,2.409,1.722,1.404,2.464,1.988,1.805,1.0,1.0,19.54,0,80.2,NORMAL,1.653,0.995,0.0,0.0,
SYN_SHIP_001,2026-06-01 12:20:00,26,NORMAL,2.304,1.669,1.345,2.316,1.741,1.484,2.343,1.788,1.745,1.0,1.0,18.35,0,75.0,NORMAL,1.655,0.941,0.0,0.0,
SYN_SHIP_001,2026-06-01 12:30:00,27,NORMAL,2.145,1.492,1.331,2.269,1.615,1.487,2.311,1.779,1.681,1.0,1.0,18.79,0,69.7,NORMAL,1.643,0.949,0.0,0.0,
SYN_SHIP_001,2026-06-01 12:40:00,28,NORMAL,2.072,1.711,1.379,2.354,1.71,1.416,2.399,1.788,1.569,1.0,1.0,18.53,0,72.8,NORMAL,1.634,0.998,0.0,0.0,
SYN_SHIP_001,2026-06-01 12:50:00,29,NORMAL,2.137,1.541,1.307,2.396,1.559,1.431,2.49,1.799,1.608,1.0,1.0,18.93,0,73.2,NORMAL,1.643,0.98,0.0,0.0,
